Theravāda,Theravāda,Theravāda,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Mahāsaṁghika,Lokuttaravāda,Lokuttaravāda,Mahīśāsaka,Mahīśāsaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Dharmaguptaka,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Sarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Mūlasarvāstivāda,Kāśyapīya,Upāliparipṛcchā,Qizil,Bhikkhu Pātimokkha (unknown school)
Pali,Pali,Pali,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Chinese,Chinese,Prakrit,Prakrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Chinese,Chinese,Sanskrit,Sanskrit,Sanskrit,Tibetan,Tibetan,Chinese,Sanskrit,Sanskrit,Prakrit
Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Śikṣamānā,Bhikkhunī,Bhikkhu,Bhikkhunī,Bhikkhu,Kandhaka,Bhikkhunī,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu,Bhikkhu
pli-tv-bi,pli-tv-bu,pli-tv-kd,lzh-mg-bi,lzh-mg-bu,san-mg-bi,san-mg-bu,san-lo-bi,san-lo-bu,lzh-mi-bi,lzh-mi-bu,lzh-dg-bi,lzh-dg-bu,pgd-dg-bi,pgd-dg-bu,lzh-sarv-bi,lzh-sarv-bu,san-sarv-bi,san-sarv-bu,san-sarv-sm,lzh-mu-bi,lzh-mu-bu,san-mu-bi,san-mu-bu,san-mu-kd,xct-mu-bi,xct-mu-bu,lzh-ka-bu,lzh-upp-bu,san-bu-pm,pgd-pm-bf13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm-ss16; vb-ss16,pm-ss12; vb-ss12,,pm-ss16; vb-ss16,pm-ss12; vb-ss12,,pm-ss12,vb-ss16,pm-ss12,pm-ss13; vb-ss13,pm-ss12; vb-ss12,pm-ss12; vb-ss12,pm-2-ss13; pm-ss13; vb-ss13,,,pm-ss12; vb-ss12,pm-2-ss13; pm-ss13; vb-ss13,pm-tf3215-ss12; pm-tf44-ss12,pm-finot-ss13; pm-tf11-ss13,,pm-ss19; vb-ss19,pm-ss13; vb-ss13,,pm-gbm2-ss13; pm-gbm3-ss13; pm-mpt-ss13,,pm-ss19; vb-ss19,pm-ss13; vb-ss13,pm-ss13,ss13,,
pm-ss17; vb-ss17,pm-ss13; vb-ss13,,,pm-ss13; vb-ss13,,pm-ss13,,pm-ss13,pm-ss12; vb-ss12,pm-ss13; vb-ss13,pm-ss13; vb-ss13,pm-2-ss12; pm-ss12; vb-ss12,,,pm-ss13; vb-ss13,pm-2-ss12; pm-ss12; vb-ss12,,pm-finot-ss12; pm-tf11-ss12,,pm-ss20; vb-ss20,pm-ss12; vb-ss12,,pm-gbm2-ss12; pm-gbm3-ss12; pm-mpt-ss12,,pm-ss20; vb-ss20,pm-ss12; vb-ss12,pm-ss12,ss12,,
,pm-ay1; vb-ay1,,,pm-ay1; vb-ay1,,pm-ay1,,pm-ay1,,pm-ay1; vb-ay1,,pm-2-ay1; pm-ay1; vb-ay1,,,,pm-2-ay1; pm-ay1; vb-ay1,,pm-finot-ay1; pm-tf11-ay1,,,pm-ay1; vb-ay1,,pm-gbm3-ay1; pm-mpt-ay1,,,pm-ay1; vb-ay1,pm-ay1,,,
,pm-ay2; vb-ay2,,,pm-ay2; vb-ay2,,pm-ay2,,pm-ay2,,pm-ay2; vb-ay2,,pm-2-ay2; pm-ay2; vb-ay2,,,,pm-2-ay2; pm-ay2; vb-ay2,,pm-finot-ay2; pm-tf11-ay2,,,pm-ay2; vb-ay2,,pm-gbm3-ay2; pm-mpt-ay2,,,pm-ay2; vb-ay2,pm-ay2,,,
pm-np13; vb-np13,pm-np1; vb-np1,,pm-np1; vb-np1,pm-np1; vb-np1,,pm-np1,vb-np1,pm-np1,pm-np1; vb-np1,pm-np1; vb-np1,pm-np1; vb-np1,pm-2-np1; pm-np1; vb-np1,,,pm-np1; vb-np1,pm-2-np1; pm-np1; vb-np1,,pm-finot-np1; pm-tf11-np1,,pm-np1; vb-np1,pm-np1; vb-np1,,pm-gbm3-np1; pm-mpt-np1,,pm-np1; vb-np1,pm-np1; vb-np1,pm-np1,np1,,np1
pm-np14; vb-np14,pm-np2; vb-np2,,pm-np2; vb-np2,pm-np2; vb-np2,,pm-np2,vb-np2,pm-np2,pm-np2; vb-np2,pm-np2; vb-np2,pm-np2; vb-np2,pm-2-np2; pm-np2; vb-np2,,,pm-np2; vb-np2,pm-2-np2; pm-np2; vb-np2,,pm-finot-np2; pm-tf11-np2,,pm-np2; vb-np2,pm-np2; vb-np2,,pm-gbm3-np2; pm-mpt-np2,,pm-np2; vb-np2,pm-np2; vb-np2,pm-np2,np2,,np2
pm-np15; vb-np15,pm-np3; vb-np3,,pm-np3; vb-np3,pm-np3; vb-np3,,pm-np3,vb-np3,pm-np3,pm-np3; vb-np3,pm-np3; vb-np3,pm-np3; vb-np3,pm-2-np3; pm-np3; vb-np3,,,pm-np3; vb-np3,pm-2-np3; pm-np3; vb-np3,,pm-finot-np3; pm-tf11-np3,,pm-np3; vb-np3,pm-np3; vb-np4,,pm-gbm3-np3; pm-mpt-np3,,pm-np3; vb-np3,pm-np3; vb-np3,pm-np3,np3,,np3
,pm-np5; vb-np5,,,pm-np4; vb-np4,,pm-np4,,pm-np4,,pm-np4; vb-np4,,pm-2-np4; pm-np4; vb-np4,,,,pm-2-np4; pm-np4; vb-np4,,pm-finot-np4; pm-tf11-np5,,pm-np5; vb-np5,pm-np4; vb-np3,,pm-gbm3-np5; pm-mpt-np5,,pm-np5; vb-np5,pm-np4; vb-np4,pm-np4,np4,,np5
,pm-np4; vb-np4,,,pm-np5; vb-np5,,pm-np5,,pm-np5,,pm-np5; vb-np5,,pm-2-np5; pm-np5; vb-np5,,,,pm-2-np5; pm-np5; vb-np5,,pm-finot-np5; pm-tf11-np4,,pm-np4; vb-np4,pm-np5; vb-np5,,pm-gbm3-np4; pm-mpt-np4,,pm-np4; vb-np4,pm-np5; vb-np5,pm-np5,np5,,np4
pm-np16; vb-np16,pm-np6; vb-np6,,pm-np6; vb-np6,pm-np6; vb-np6,,pm-np6,vb-np6,pm-np6,pm-np4; vb-np4,pm-np6; vb-np6,pm-np4; vb-np4,pm-2-np6; pm-np6; vb-np6,,,pm-np4; vb-np4,pm-2-np6; pm-np6; vb-np6,,pm-finot-np6; pm-tf11-np6,,pm-np6; vb-np6,pm-np6; vb-np6,,pm-gbm3-np6; pm-mpt-np6,,pm-np6; vb-np6,pm-np6; vb-np6,pm-np6,np6,qizil-np6,np6
pm-np17; vb-np17,pm-np7; vb-np7,,pm-np7; vb-np7,pm-np7; vb-np7,,pm-np7,vb-np7,pm-np7,pm-np5; vb-np5,pm-np7; vb-np7,pm-np5; vb-np5,pm-2-np7; pm-np7; vb-np7,,,pm-np5; vb-np5,pm-2-np7; pm-np7; vb-np7,pm-tf3215-np5; pm-tf44-np5,pm-finot-np7; pm-tf11-np7,,pm-np7; vb-np7,pm-np7; vb-np7,,pm-gbm3-np7; pm-mpt-np7,,pm-np7; vb-np7,pm-np7; vb-np7,pm-np7,np7,,np7
pm-np18; vb-np18,pm-np8; vb-np8,,pm-np8; vb-np8,pm-np8; vb-np8,,pm-np8,vb-np8,pm-np8,pm-np6; vb-np6,pm-np8; vb-np8,pm-np6; vb-np6,pm-2-np8; pm-np8; vb-np8,,,pm-np6; vb-np6,pm-2-np8; pm-np8; vb-np8,pm-tf3215-np6; pm-tf44-np6,pm-finot-np8; pm-tf11-np8,,pm-np8; vb-np8,pm-np8; vb-np8,,pm-gbm3-np8; pm-mpt-np8,,pm-np8; vb-np8,pm-np8; vb-np8,pm-np8,np8,,np8
pm-np19; vb-np19,pm-np9; vb-np9,,pm-np9; vb-np9,pm-np9; vb-np9,,pm-np9,vb-np9,pm-np9,pm-np7; vb-np7,pm-np9; vb-np9,pm-np7; vb-np7,pm-2-np9; pm-np9; vb-np9,,,pm-np7; vb-np7,pm-2-np9; pm-np9; vb-np9,,pm-finot-np9; pm-tf11-np9,,pm-np9; vb-np9,pm-np9; vb-np9,,pm-gbm3-np9; pm-mpt-np9,,pm-np9; vb-np9,pm-np9; vb-np9,pm-np9,np9,,np9
pm-np20; vb-np20,pm-np10; vb-np10,,pm-np10; vb-np10,pm-np10; vb-np10,,pm-np10,vb-np10,pm-np10,pm-np8; vb-np8,pm-np10; vb-np10,pm-np8; vb-np8,pm-2-np10; pm-np10; vb-np10,,,pm-dh-np8; pm-np8; vb-np8,pm-2-np10; pm-np10; vb-np10,pm-tf3215-np8; pm-tf44-np8,pm-finot-np10; pm-tf11-np10,,pm-np10; vb-np10,pm-np10; vb-np10,,pm-gbm3-np10; pm-mpt-np10,,pm-np10; vb-np10,pm-np10; vb-np10,pm-np10,np10,qizil-np10,
,pm-np12; vb-np12,,,pm-np11; vb-np11,,pm-np11,,pm-np11,,pm-np22; vb-np22,,pm-2-np12; pm-np12; vb-np12,,,,pm-2-np12; pm-np12; vb-np12,,pm-finot-np12; pm-tf11-np12,,,pm-np12; vb-np12,,pm-gbm3-np12; pm-mpt-np12,,,pm-np12; vb-np12,pm-np12,np12,qizil-np12,
,pm-np13; vb-np13,,,pm-np12; vb-np12,,pm-np12,,pm-np12,,pm-np23; vb-np23,,pm-2-np13; pm-np13; vb-np13,,,,pm-2-np13; pm-np13; vb-np13,,pm-finot-np13; pm-tf11-np13,,,pm-np13; vb-np13,,pm-gbm3-np13; pm-mpt-np13,,,pm-np13; vb-np13,pm-np13,np13,qizil-np13,
,pm-np11; vb-np11,,,pm-np13; vb-np13,,pm-np13,,pm-np13,,pm-np21; vb-np21,,pm-2-np11; pm-np11; vb-np11,,,,pm-2-np11; pm-np11; vb-np11,,pm-finot-np11; pm-tf11-np11,,,pm-np11; vb-np11,,pm-gbm3-np11; pm-mpt-np11,,,pm-np11; vb-np11,pm-np11,np11,qizil-np11,
,pm-np14; vb-np14,,,pm-np14; vb-np14,,pm-np14,,pm-np14,,pm-np24; vb-np24,,pm-2-np14; pm-np14; vb-np14,,,,pm-2-np14; pm-np14; vb-np14,,pm-finot-np14; pm-tf11-np14,,,pm-np14; vb-np14,,pm-gbm3-np14; pm-mpt-np14,,,pm-np14; vb-np14,pm-np15,np14,qizil-np14,
,pm-np15; vb-np15,,,pm-np15; vb-np15,,pm-np15,,pm-np15,,pm-np25; vb-np25,,pm-2-np15; pm-np15; vb-np15,,,,pm-2-np15; pm-np15; vb-np15,,pm-finot-np15; pm-tf11-np15,,,pm-np15; vb-np15,,pm-gbm3-np15; pm-mpt-np15,,,pm-np15; vb-np15,pm-np14,np15,qizil-np15,
